,BeverageCategory,Beverage,Food,Rating
39,Red Wine,Syrah,Venison,5.0
40,White Wine,Chablis,Oysters Raw,5.0
41,White Wine,Muscadet,Oysters Raw,5.0
42,Red Wine,Pinot Noir,Tacos,5.0
43,Red Wine,Pinot Noir,Pork Tacos,5.0
44,Beer,Chocolate Stout,Ice Cream Vanilla,5.0
45,Beer,American Stout,Ice Cream Vanilla,5.0
46,Beer,English Brown Ale,Steak,5.0
47,Beer,American Pale Ale,Nachos,5.0
48,Beer,Tripel,Octopus,5.0
49,Dairy,Abbey Beer,Birthday Cake,5.0
50,Rosé,Rosé,Tuna Steak,5.0
51,Dessert Wine,Banyuls,Semi-Sweet Chocolate,5.0
52,Red Wine,Cabernet Sauvignon,Ribeye Steak ,5.0
53,Red Wine,Dolcetto (DOC),Zoodles (Spiralized Zucchini),4.5
54,Rosé,Rosé,Aioli,4.5
55,Rosé,Rosé,Anchovies,4.5
56,Sherry,"Sherry, Fino",Anchovies,4.5
57,Sherry,"Sherry, Manzanilla",Anchovies,4.5
58,Sparkling Wine,"Champagne, Blanc de blancs ",Aperitif,4.5
59,Sparkling Wine,"Champagne, Dry",Aperitif,4.5
60,Sparkling Wine,"Champagne, Brut",Aperitif,4.5
61,White Wine,Riesling,Aperitif,4.5
62,Sherry,"Sherry, Fino",Aperitif,4.5
63,Sherry,"Sherry, Manzanilla",Aperitif,4.5
64,Beer,Weissbier,Chutney,4.5
65,White Wine,Riesling,Apple,4.5
66,Dessert Wine,"Riesling, Late Harvest",Apple Dessert,4.5
67,White Wine,"Muscat, Dry",Apple Dessert,4.5
68,White Wine,Riesling,Apple Dessert,4.5
69,Dessert Wine,Sauternes,Apple Dessert,4.5
70,Dessert Wine,Sauternes,Apple Pie,4.5
71,Rosé,Rosé,Artichoke,4.5
72,Rosé,Bandol Rosé AOC,Artichoke,4.5
73,Rosé,Tavel,Artichoke,4.5
74,White Wine,Sauvignon Blanc,Artichoke,4.5
75,Sparkling Wine,Champagne,Eggs & Prosciutto,4.5
76,Sherry,"Sherry, Fino",Tomato Salad with Prosciutto,4.5
77,Red Wine,"Burgundy, Red",Prosciutto wrapped Roasted Chicken,4.5
78,White Wine,Gewürztraminer,Asian Cuisine,4.5
79,White Wine,Grüner Veltliner,Asparagus,4.5
80,White Wine,Sauvignon Blanc,Asparagus,4.5
81,White Wine,Chablis,Avocado,4.5
82,White Wine,Sauvignon Blanc,Avocado,4.5
83,Red Wine,Pinot Noir,Bacon,4.5
84,Beer,Smoked Beer,Barbecue,4.5
85,Beer,Wheat Beer,Barbecue,4.5
86,Beer,Amber Ale,Barbecue,4.5
87,Pop,Iced Tea,Barbecue,4.5
88,Red Wine,Shiraz,Barbecue,4.5
89,Red Wine,Bordeaux AOC Red,Beef Prime Rib,4.5
90,White Wine,Sauvignon Blanc,Basil,4.5
91,Red Wine,Shiraz,Beef,4.5
92,Red Wine,Syrah,Beef,4.5
93,Red Wine,Barolo,Beef Braised,4.5
94,Red Wine,"Côtes du Rhône, Red",Beef Braised,4.5
95,Red Wine,Carménère,Lechon Asado,4.5
96,Red Wine,Bordeaux AOC Red,Roast Beef,4.5
97,Red Wine,Zinfandel,Beef Short Ribs,4.5
98,Red Wine,Shiraz,Beef Stew,4.5
99,Red Wine,Syrah,Beef Stew,4.5
100,Beer,Weissbock,Mushrooms,4.5
101,Red Wine,"Burgundy, Red",Beef Wellington,4.5
102,Red Wine,Pinot Noir,Beef Wellington,4.5
103,White Wine,Riesling,Beets,4.5
104,Dessert Wine,"Muscat, Black",Blackberries,4.5
105,Dessert Wine,"Riesling, Late Harvest",Blueberries,4.5
106,Red Wine,"Chianti Classico, Riserva DOCG",Wild Boar,4.5
107,Red Wine,Shiraz,Wild Boar,4.5
108,Red Wine,Syrah,Wild Boar,4.5
109,White Wine,Chardonnay,Butter,4.5
110,White Wine,Chardonnay,Butter Sauce,4.5
111,Beer,Weissbier,Thai Cuisine,4.5
112,White Wine,Riesling,Cabbage,4.5
113,Port,"Port, Tawny",Caramel,4.5
114,Beer,Red Stripe,Caribbean Cusine,4.5
115,Beer,Dubbel,Carbonnade Flamande,4.5
116,Sparkling Wine,"Champagne, Rosé ",Carpaccio,4.5
117,Red Wine,Syrah,Cassoulet,4.5
118,Red Wine,Shiraz,Cassoulet,4.5
119,Beer,Weissbier,Chicken Tikka Masala,4.5
120,White Wine,Sancerre,Ceviche,4.5
121,Juice,"Cider, Non Alcoholic",Cheese,4.5
122,White Wine,"Gewürztraminer, Alsace",Cheese,4.5
123,Sparkling Wine,Moscato d'Asti,Cheese,4.5
124,White Wine,White Wine,Cheese,4.5
125,Dessert Wine,Sauternes,Blue Cheese,4.5
126,Beer,Altbier,Pork Roasted,4.5
127,Sparkling Wine,"Champagne, Blanc de blancs ",Brie Cheese,4.5
128,Sparkling Wine,"Champagne, Rosé ",Brie Cheese,4.5
129,White Wine,Sauvignon Blanc,Brie Cheese,4.5
130,Sparkling Wine,Sparkling Wine,Brie Cheese,4.5
131,Beer,Weissbier,Weisswurst Sausage,4.5
132,Sherry,"Sherry, Sweet ",Cabrales Cheese,4.5
133,Sherry,"Sherry, Manzanilla",Cabrales Cheese,4.5
134,Red Wine,Bordeaux AOC Red,Camembert Cheese,4.5
135,Sparkling Wine,"Champagne, Brut",Camembert Cheese,4.5
136,White Wine,"Sparkling Wine, Dry",Camembert Cheese,4.5
137,Sparkling Wine,Sparkling Wine,Camembert Cheese,4.5
138,Red Wine,Barolo,Castelmagno Cheese,4.5
139,Beer,India Pale Ale - IPA,Cheddar Cheese,4.5
140,Beer,English Brown Ale,Cheddar Cheese,4.5
141,Red Wine,Cabernet Sauvignon,Cheddar Cheese,4.5
142,White Wine,Chardonnay,Cheddar Cheese,4.5
143,White Wine,Sauvignon Blanc,Chevre Cheese,4.5
144,White Wine,Sancerre,Crottin Cheese,4.5
145,White Wine,Riesling,Edam Cheese,4.5
146,Other,Marc De Bourgogne,Epoisses Cheese,4.5
147,White Wine,Retsina,Feta Cheese,4.5
148,Red Wine,Barbaresco DOCG,Fontina Cheese,4.5
149,Red Wine,Barolo,Fontina Cheese,4.5
150,Dessert Wine,Banyuls,Fourme D'ambert Cheese,4.5
151,Port,"Port, Vintage",Fourme D'ambert Cheese,4.5
152,Other,Pineau des Charentes,Goat Cheese,4.5
153,White Wine,Sauvignon Blanc,Goat Cheese,4.5
154,Red Wine,Barolo,Gorgonzola Cheese,4.5
155,Beer,Belgian Beer,Gouda Cheese,4.5
156,Beer,"Porter, Dry",Gouda Cheese,4.5
157,White Wine,"Riesling, Spätlese ",Gouda Cheese,4.5
158,White Wine,Riesling,Gouda Cheese,4.5
159,Sparkling Wine,"Champagne, Blanc de blancs ",Gruyere Cheese,4.5
160,Sparkling Wine,"Champagne, Dry",Gruyere Cheese,4.5
161,White Wine,Chardonnay,Havarti Cheese,4.5
162,Sherry,"Sherry, Fino",Manchego Cheese,4.5
163,Red Wine,Zinfandel,Monterey Jack Cheese,4.5
164,Sparkling Wine,Prosecco,Mozzarella Cheese,4.5
165,Red Wine,"Arbois, Red",Morbier Cheese,4.5
166,White Wine,"Arbois, White",Morbier Cheese,4.5
167,Red Wine,Amarone,Parmesan Cheese,4.5
168,Red Wine,Barolo,Parmesan Cheese,4.5
169,Red Wine,Brunello di Montalcino (DOCG),Pecorino Cheese,4.5
170,Red Wine,Chianti Classico DOCG,Pecorino Cheese,4.5
171,Red Wine,Chianti Riserva DOCG,Pecorino Cheese,4.5
172,Red Wine,"Chianti Classico, Riserva DOCG",Pecorino Cheese,4.5
173,Red Wine,Bordeaux AOC Red,Pierre Robert Cheese,4.5
174,Red Wine,Margaux,Pierre Robert Cheese,4.5
175,Red Wine,"Burgundy, Red",Pont-L'eveque Cheese,4.5
176,Red Wine,Pinot Noir,Reblochon Cheese,4.5
177,Beer,Weissbier,Vietnamese Cuisine,4.5
178,Port,"Port, Ruby",Roquefort Cheese,4.5
179,Port,"Port, Tawny",Roquefort Cheese,4.5
180,Port,"Port, Vintage",Roquefort Cheese,4.5
181,Beer,Weissbier,Vichyssoise,4.5
182,Beer,Ale,Tete De Moine Cheese,4.5
183,Beer,Stout,Tete De Moine Cheese,4.5
184,Beer,Porter,Tete De Moine Cheese,4.5
185,Sherry,"Sherry, Amontillado",Abondance Cheese,4.5
186,Sparkling Wine,"Champagne, Blanc de blancs ",Triple Créme Cheese,4.5
187,Beer,Dunkel,Venison,4.5
188,White Wine,Vin Juane,Vacherin Mont D'or Cheese,4.5
189,Dessert Wine,"Muscat, Black",Cheesecake,4.5
190,Dessert Wine,"Muscat, Orange",Cheesecake,4.5
191,Dessert Wine,Muscat de Beaumes-de-Venise,Cheesecake,4.5
192,Dessert Wine,"Riesling, Late Harvest",Cheesecake,4.5
193,Dessert Wine,Sauternes,Cheesecake Fruit-Topped,4.5
194,Red Wine,Pinot Noir,Cherry,4.5
195,Port,"Port, Ruby",Cherry Dessert,4.5
196,Port,"Port, Vintage",Cherry Dessert,4.5
197,White Wine,Chardonnay,Chicken,4.5
198,Red Wine,Pinot Noir,Chicken,4.5
199,White Wine,Chardonnay,Baked Chicken with Cream Sauce,4.5
200,Red Wine,Zinfandel,Barbecued Chicken with Barbacue Sauce,4.5
201,Red Wine,"Burgundy, Red",Coq Au Vin,4.5
202,Sherry,"Sherry, Fino",Appenzeller Cheese,4.5
203,Sherry,"Sherry, Amontillado",Appenzeller Cheese,4.5
204,Red Wine,"Burgundy, Red",Roasted Chicken,4.5
205,White Wine,Chardonnay,Roasted Chicken,4.5
206,Red Wine,Pinot Noir,Roasted Chicken,4.5
207,Beer,Dunkel,Veal,4.5
208,Beer,Hellesbock,Veal,4.5
209,White Wine,"Riesling, Auslese",Chiles,4.5
210,White Wine,Sauvignon Blanc,Chiles,4.5
211,Red Wine,Zinfandel,Chiles,4.5
212,White Wine,White Zinfandel,Chiles,4.5
213,Beer,Lager,Chili,4.5
214,Beer,Pilsner,Chili,4.5
215,Red Wine,Zinfandel,Chili,4.5
216,Beer,Pilsner,Chinese Cuisine Spicy,4.5
217,Beer,Wheat Beer,Chinese Cuisine Spicy,4.5
218,White Wine,"Gewürztraminer, Alsace",Chinese Cuisine Spicy,4.5
219,White Wine,Riesling,Cantonese Food,4.5
220,Beer,English Brown Ale,Chocolate,4.5
221,Beer,Porter,Chocolate,4.5
222,Beer,Malty,Chocolate,4.5
223,Red Wine,Brunello di Montalcino Riserva (DOCG),Wild Boar,4.5
224,Beer,Chocolate Stout,Chocolate,4.5
225,Beer,Oatmeal Stout,Chocolate,4.5
226,Beer,Imperial Stout,Chocolate,4.5
227,Coffee,Dark Roasted,Chocolate,4.5
228,Coffee,Medium Roasted,Chocolate,4.5
229,Coffee,Guatamalan Antigua,Chocolate,4.5
230,Coffee,Espresso,Chocolate,4.5
231,Liquor,Framboise based cocktails,Chocolate,4.5
232,Fortified Wine,"Madeira, Bual",Chocolate,4.5
233,Dessert Wine,"Madeira, Malmsey",Chocolate,4.5
234,Dessert Wine,"Maury, Roussillon (Northern Catalonia)",Chocolate with Berries or Cherries,4.5
235,Dessert Wine,"Muscat, Orange",Chocolate,4.5
236,Dessert Wine,"Muscat, Black",Chocolate,4.5
237,Sherry,"Sherry, PX or Pedro Ximenez",Chocolate,4.5
238,Port,"Port, Tawny",Dark Chocolate,4.5
239,Port,"Port, Vintage",Dark Chocolate,4.5
240,Fortified Wine,Muscat de Beaumes-de-Venise,Milk Chocolate,4.5
241,Fortified Wine,"Muscat, Orange",Milk Chocolate,4.5
242,Beer,Dubbel,Turkey,4.5
243,White Wine,Sauvignon Blanc,Cilantro,4.5
244,White Wine,Chablis,Clams,4.5
245,White Wine,Pinot Grigio,Clams,4.5
246,White Wine,Pinot Gris,Clams,4.5
247,White Wine,Sauvignon Blanc,Clams,4.5
248,Beer,Tripel,Steak Tartare,4.5
249,Beer,Biere De Garde,Turkey,4.5
250,White Wine,Chardonnay,Cod,4.5
251,Dairy,Milk,Cookies,4.5
252,White Wine,"Muscat, Dry",Cookies,4.5
253,White Wine,Chardonnay,Cornbread,4.5
254,Pop,Beezlenut Splash,Green Eggs and Ham,4.5
255,Rosé,Rosé,Couscous,4.5
256,White Wine,Chardonnay,Crab Cakes,4.5
257,White Wine,Sauvignon Blanc,Crab Cakes,4.5
258,White Wine,"Burgundy, White",Crab Dungeness,4.5
259,White Wine,Meursault,Crab Dungeness,4.5
260,Other,Puligny-Montrachet Red or White,Crab Dungeness,4.5
261,White Wine,Riesling,Crab Soft-Shell,4.5
262,White Wine,Chardonnay,Crayfish/Crawfish,4.5
263,White Wine,Chardonnay,Cream Dishes/Sauces,4.5
264,Dessert Wine,Muscat de Beaumes-de-Venise,Crème Brûlée or Crème Caramel,4.5
265,Dessert Wine,Muscat de Rivesaltes,Crème Brûlée or Crème Caramel,4.5
266,Dessert Wine,Sauternes,Crème Brûlée or Crème Caramel,4.5
267,Sherry,"Sherry, Sweet ",Crème Brûlée or Crème Caramel,4.5
268,Sherry,"Sherry, Oloroso",Crème Brûlée or Crème Caramel,4.5
269,Sherry,"Sherry, Cream ",Crème Brûlée or Crème Caramel,4.5
270,White Wine,Pinot Bianco,Crudité,4.5
271,White Wine,Pinot Blanc,Crudité,4.5
272,White Wine,"Gewürztraminer, Alsace",Curry Dishes,4.5
273,White Wine,"Riesling, Spätlese ",Fish Curry Dishes,4.5
274,White Wine,"Riesling, Spätlese ",Chicken Curry Dishes,4.5
275,Red Wine,Zinfandel,Beef Curry Dishes,4.5
276,Red Wine,Zinfandel,Lamb Curry Dishes,4.5
277,White Wine,Riesling,Curry Dishes with Coconut,4.5
278,Port,"Port, Tawny",Custard Desserts,4.5
279,Port,"Port, Vintage",Custard Desserts,4.5
280,Dessert Wine,Sauternes,Custard Desserts,4.5
281,Port,"Port, Tawny",Dates,4.5
282,Sherry,"Sherry, Sweet ",Dates,4.5
283,Sherry,"Sherry, Cream ",Dates,4.5
284,Sherry,"Sherry, Oloroso",Dates,4.5
285,Beer,Wheatwine,Sausage,4.5
286,Tea,"Tea, Black",Desserts,4.5
287,White Wine,Sauvignon Blanc,Dill,4.5
288,Juice,"Cider, Non Alcoholic",Donuts,4.5
289,Coffee,Coffee,Donuts,4.5
290,Tea,Tea,Donuts,4.5
291,Red Wine,"Ajaccio, Red AOC",Gigot d'Agneau de 7 heures,4.5
292,Red Wine,Merlot,Duck,4.5
293,Red Wine,Pinot Noir,Duck,4.5
294,Red Wine,Cahors AOC,Duck Confit,4.5
295,White Wine,Gewürztraminer,Duck L'Orange,4.5
296,White Wine,"Riesling, Auslese",Duck L'Orange,4.5
297,Red Wine,Pinot Noir,Roasted Duck,4.5
298,Sparkling Wine,"Champagne, Dry",Eggs and Egg Based Dishes,4.5
299,Sparkling Wine,"Champagne, Blanc de blancs ",Eggs and Egg Based Dishes,4.5
300,White Wine,"Chardonnay, Unoaked",Eggs and Egg Based Dishes,4.5
301,White Wine,Chardonnay,Eggs and Egg Based Dishes,4.5
302,Sparkling Wine,"Sparkling Wine, Dry",Eggs and Egg Based Dishes,4.5
303,Sparkling Wine,Champagne,Omelette,4.5
304,White Wine,"Burgundy, White",Omelette with Lobster,4.5
305,Beer,Doppelbock,Wild Boar,4.5
306,Beer,India Pale Ale - IPA,Ethiopian Cuisine,4.5
307,Beer,Pale Ale,Ethiopian Cuisine,4.5
308,Beer,Pilsner,Ethiopian Cuisine,4.5
309,Beer,Lager,Ethiopian Cuisine,4.5
310,Beer,Wheat Beer,Ethiopian Cuisine,4.5
311,White Wine,"Gewürztraminer, Alsace",Ethiopian Cuisine,4.5
312,White Wine,"Gewürztraminer, German",Ethiopian Cuisine,4.5
313,White Wine,Sauvignon Blanc,Fennel,4.5
314,Port,"Port, Tawny",Figs,4.5
315,White Wine,Pinot Grigio,Fish,4.5
316,White Wine,Pinot Gris,Fish,4.5
317,White Wine,Sauvignon Blanc,Fish,4.5
318,Sparkling Wine,"Champagne, Dry",Foie Gras,4.5
319,Sparkling Wine,"Champagne, Demi-Sec",Foie Gras,4.5
320,Sparkling Wine,"Champagne, Rosé ",Foie Gras,4.5
321,Sparkling Wine,"Champagne, Sec",Foie Gras,4.5
322,White Wine,Gewürztraminer,Foie Gras,4.5
323,White Wine,"Pinot Gris, Alsace",Foie Gras,4.5
324,Dessert Wine,"Late Harvest Wine, Pinot Gris",Foie Gras,4.5
325,Beer,Orval Trappist Ale,Brandade de morue,4.5
326,Dessert Wine,"Riesling, Late Harvest",Foie Gras Terrine Torchon Pâté,4.5
327,Dessert Wine,Sauternes,Foie Gras Terrine Torchon Pâté,4.5
328,Beer,Orval Trappist Ale,Mushroom Strudel,4.5
329,Red Wine,"Ajaccio, Red AOC",Smoked Duck Breast Filet,4.5
330,Sparkling Wine,Champagne,Fried Foods,4.5
331,Sparkling Wine,"Sparkling Wine, Dry",Fried Foods,4.5
332,Port,"Port, Tawny",Fruit Dried,4.5
333,Sparkling Wine,"Champagne, Rosé ",Fruit Fresh,4.5
334,Sparkling Wine,Champagne,Fruit Fresh,4.5
335,Dessert Wine,Moscato d'Asti,Fruit Fresh,4.5
336,White Wine,Riesling,Fruit Fresh,4.5
337,Dairy,Ice Wine,Fruit Desserts,4.5
338,White Wine,"Riesling, Auslese",Fruit Desserts,4.5
339,Dessert Wine,"Riesling, Late Harvest",Fruit Desserts,4.5
340,Beer,Orval Trappist Ale,Mushrooms,4.5
341,Red Wine,Barolo,Game,4.5
342,Red Wine,Shiraz,Game prepared with Fruit,4.5
343,Red Wine,Syrah,Game prepared with Fruit,4.5
344,Red Wine,Shiraz,Grilled Game,4.5
345,Red Wine,Syrah,Grilled Game,4.5
346,Red Wine,Shiraz,Game Roasted,4.5
347,Red Wine,Syrah,Game Roasted,4.5
348,Beer,Wheat Beer,Sushi,4.5
349,Sherry,"Sherry, Dry",Gazpacho,4.5
350,Sherry,"Sherry, Fino",Gazpacho,4.5
351,Sherry,"Sherry, Manzanilla",Gazpacho,4.5
352,White Wine,"Gewürztraminer, Alsace",Ginger,4.5
353,White Wine,Riesling,Ginger,4.5
354,Beer,Saison,Snails,4.5
355,Beer,Orval Trappist Ale,Salmon,4.5
356,Dessert Wine,Muscat de Beaumes-de-Venise,Ginger Desserts (Gingerbread),4.5
357,Dessert Wine,"Muscat, Orange",Ginger Desserts (Gingerbread),4.5
358,Dessert Wine,"Muscat, Sweet",Ginger Desserts (Gingerbread),4.5
359,Sparkling Wine,"Champagne, Blanc de blancs ",Gravlax,4.5
360,Sparkling Wine,"Champagne, Brut",Gravlax,4.5
361,White Wine,Chardonnay,Grilled Dishes,4.5
362,Beer,Orval Trappist Ale,Grilled Sardines,4.5
363,Beer,Orval Trappist Ale,Monkfish,4.5
364,Other,Oaked Wine,Grilled Dishes,4.5
365,Red Wine,Shiraz,Grilled Dishes,4.5
366,Red Wine,Syrah,Grilled Dishes,4.5
367,Red Wine,Zinfandel,Grilled Dishes,4.5
368,White Wine,Sauvignon Blanc,Guacamole,4.5
369,Rosé,Rosé,Cojonudo,4.5
370,Rosé,Rosé,Pan Con Tomate,4.5
371,White Wine,"Burgundy, White",Halibut,4.5
372,White Wine,Chablis,Halibut,4.5
373,White Wine,"Chardonnay, Unoaked",Halibut,4.5
374,Red Wine,"Beaujolais, Cru",Ham,4.5
375,Red Wine,Pinot Noir,Ham,4.5
376,White Wine,Riesling,Ham,4.5
377,Rosé,Rosé,Ham,4.5
378,Sparkling Wine,"Sparkling Wine, Rosé",Ham,4.5
379,Red Wine,Beaujolais,Hamburgers with Ketchup,4.5
380,Red Wine,Cabernet Sauvignon,Hamburgers,4.5
381,Red Wine,Shiraz,Hamburgers,4.5
382,Red Wine,Syrah,Hamburgers,4.5
383,White Wine,Edelzwicker - Alsace,Seafood Platter,4.5
384,White Wine,Sauvignon Blanc,Herbed Dishes,4.5
385,Red Wine,Vacqueyras (AOC),Duck Breast with Figs,4.5
386,Beer,Ale,Horseradish,4.5
387,Beer,Lager,Hot Dogs,4.5
388,White Wine,Kabinett Riesling,Hot Dogs,4.5
389,Rosé,Rosado,Hot Dogs,4.5
390,Dessert Wine,Banyuls,Chocolate,4.5
391,Beer,Dunkelweisse,Venison,4.5
392,Beer,Weissbier,Weiner Schnitzel,4.5
393,Dessert Wine,Ice Wine,Ice Cream,4.5
394,Dessert Wine,"Muscat, Black",Ice Cream,4.5
395,Dessert Wine,"Muscat, Orange",Ice Cream,4.5
396,Dessert Wine,Muscat de Beaumes-de-Venise,Ice Cream,4.5
397,Pop,Root Beer,Ice Cream,4.5
398,Beer,Black IPA,Hamburgers with Cheese,4.5
399,White Wine,"Gewürztraminer, Alsace",Indian Cuisine,4.5
400,White Wine,"Gewürztraminer, German",Indian Cuisine,4.5
401,Red Wine,Merlot,Indian Cuisine,4.5
402,Beer,India Pale Ale - IPA,Indian Cuisine,4.5
403,Red Wine,Vacqueyras (AOC),Lamb Shoulder with Thyme,4.5
404,Sake,Sake,Japanese Cuisine,4.5
405,Red Wine,"Burgundy, Red",Kidneys,4.5
406,Beer,Red IPA,Pork Spare Ribs,4.5
407,Red Wine,Bordeaux AOC Red,Lamb,4.5
408,Red Wine,"Rioja, Red",Lamb,4.5
409,Red Wine,Shiraz,Lamb,4.5
410,Red Wine,Syrah,Lamb,4.5
411,Red Wine,Zinfandel,Lamb,4.5
412,Red Wine,Cabernet Sauvignon,Lamb Chops,4.5
413,Red Wine,Zinfandel,Grilled Lamb,4.5
414,Red Wine,Bordeaux AOC Red,Roasted Lamb,4.5
415,Red Wine,Cabernet Sauvignon,Roasted Lamb,4.5
416,Red Wine,Bordeaux AOC Red,Roasted Leg of Lamb,4.5
417,Red Wine,Cabernet Sauvignon,Lamb Shanks,4.5
418,Red Wine,"Rioja, Red",Lamb Stew,4.5
419,Red Wine,Chianti Classico DOCG,Lasagna,4.5
420,Red Wine,Chianti DOCG,Lasagna,4.5
421,Sparkling Wine,"Champagne, Blanc de blancs ",Lobster,4.5
422,Sparkling Wine,"Champagne, Rosé ",Lobster,4.5
423,White Wine,Sauvignon Blanc,Lime,4.5
424,White Wine,"Chardonnay, Unoaked",Macaroni and Cheese,4.5
425,White Wine,Muscadet,Mackerel,4.5
426,White Wine,Sauvignon Blanc,Mackerel,4.5
427,Dessert Wine,"Riesling, Late Harvest",Mango,4.5
428,Red Wine,Cabernet Sauvignon,Meatloaf,4.5
429,Red Wine,Merlot,Meatloaf,4.5
430,Port,Port,Melon,4.5
431,Beer,Lager,Mexican Cuisine,4.5
432,Liquor,Margarita,Mexican Cuisine,4.5
433,Red Wine,Zinfandel,Mexican Cuisine (beef based),4.5
434,Red Wine,Cabernet Sauvignon,Mint,4.5
435,White Wine,Chardonnay,Monkfish,4.5
436,Red Wine,"Burgundy, Red",Mushrooms,4.5
437,Red Wine,Pinot Noir,Mushrooms,4.5
438,White Wine,"Rioja, White",Mushrooms,4.5
439,Red Wine,Pinot Noir,Morel Mushrooms,4.5
440,Red Wine,Pinot Noir,Wild Mushrooms,4.5
441,White Wine,Chablis,Mussels,4.5
442,White Wine,Sauvignon Blanc,Mussels,4.5
443,White Wine,"Chardonnay, Unoaked",Mustard,4.5
444,Sparkling Wine,"Champagne, Demi-Sec",Nectarines,4.5
445,Dessert Wine,"Riesling, Late Harvest",Nectarines,4.5
446,Sherry,"Sherry, Amontillado",Nuts,4.5
447,Sherry,"Sherry, Fino",Nuts,4.5
448,Sherry,"Sherry, Oloroso",Nuts,4.5
449,Fortified Wine,Madeira,Nutty Desserts,4.5
450,Port,"Port, Tawny",Nutty Desserts,4.5
451,Port,"Port, Vintage",Nutty Desserts,4.5
452,Sherry,"Sherry, Cream ",Nutty Desserts,4.5
453,Sherry,"Sherry, Oloroso",Nutty Desserts,4.5
454,Sherry,"Sherry, PX or Pedro Ximenez",Nutty Desserts,4.5
455,Rosé,Rosé,Olives,4.5
456,White Wine,Riesling,Oranges,4.5
457,White Wine,Sauvignon Blanc,Oregano,4.5
458,Red Wine,Barbaresco DOCG,Osso Buco,4.5
459,Red Wine,Barolo,Osso Buco,4.5
460,Sparkling Wine,"Champagne, Blanc de blancs ",Oysters,4.5
461,Sparkling Wine,"Champagne, Dry",Oysters,4.5
462,Beer,Cream Stout,Soufflé,4.5
463,White Wine,Sauvignon Blanc,Oysters,4.5
464,Sparkling Wine,Sparkling Wine,Oysters,4.5
465,Beer,Wheat Beer,Pad Thai,4.5
466,White Wine,Sauvignon Blanc,Parsley,4.5
467,Red Wine,Chianti Classico DOCG,Pasta Bolognese,4.5
468,Red Wine,Sangiovese,Pasta Bolognese,4.5
469,White Wine,Chardonnay,Pasta Alfredo,4.5
470,Red Wine,Pinot Noir,Pasta with Mushrooms,4.5
471,Red Wine,Barbera DOC,Pasta with Tomato Sauce,4.5
472,Red Wine,Chianti DOCG,Pasta with Tomato Sauce,4.5
473,Red Wine,Beaujolais,Pâté,4.5
474,Dessert Wine,Muscat de Beaumes-de-Venise,Peaches,4.5
475,Beer,Weissbier,Squid,4.5
476,Dessert Wine,Sauternes,Peaches,4.5
477,Dessert Wine,Banyuls,Pears,4.5
478,Dessert Wine,Late Harvest Wines,Pears,4.5
479,Dessert Wine,Muscat de Beaumes-de-Venise,Pears,4.5
480,White Wine,Riesling,Pears,4.5
481,White Wine,Sauvignon Blanc,Peas,4.5
482,Fortified Wine,"Madeira, Malmsey",Pecans,4.5
483,Fortified Wine,"Madeira, Bual",Pecans,4.5
484,Red Wine,Cabernet Sauvignon,Black Pepper,4.5
485,Red Wine,Petite Sirah,Black Pepper,4.5
486,White Wine,Sauvignon Blanc,Red Bell Pepper,4.5
487,White Wine,Sauvignon Blanc,Green Bell Pepper,4.5
488,White Wine,"Chardonnay, Unoaked",Pesto,4.5
489,White Wine,Sauvignon Blanc,Pesto,4.5
