,category,beverage,food,Grape,ind,sodium,calories,fat,cholesterol,carbs,protein,BODY,Tannin,Acid,ABV,Dryness,FRUIT
90,White Wine,Sancerre,Crayfish/Crawfish,Sauvignon Blanc,17,934,395,27.5,167,6,17.7,2,0,5,3,2,2
91,White Wine,Sauvignon Blanc,Cream Dishes/Sauces,Sauvignon Blanc,18,651,539,33.2,65,5,20.4,2,0,5,3,2,2
92,White Wine,Sauvignon Blanc,Crudité,Sauvignon Blanc,20,,,,,,,2,0,5,3,2,2
93,White Wine,Sauvignon Blanc,Curry Dishes,Sauvignon Blanc,21,980,328,23.4,106,2,17.9,2,0,5,3,2,2
94,White Wine,Sauvignon Blanc,Dill,Sauvignon Blanc,29,928,167,7.7,23,2,4.5,2,0,5,3,2,2
95,White Wine,Pouilly Fumé,Dill,Sauvignon Blanc,29,928,167,7.7,23,2,4.5,2,0,5,3,2,2
96,White Wine,Sauvignon Blanc,Eggs and Egg Based Dishes,Sauvignon Blanc,35,340,253,14,24,8,0.9,2,0,5,3,2,2
97,White Wine,Fumé Blanc,Eggs and Egg Based Dishes,Sauvignon Blanc,35,340,253,14,24,8,0.9,2,0,5,3,2,2
98,White Wine,Sancerre,Eggs and Egg Based Dishes,Sauvignon Blanc,35,340,253,14,24,8,0.9,2,0,5,3,2,2
99,White Wine,Bordeaux AOC White,Ethiopian Cuisine,Sauvignon Blanc,38,388,238,16.3,0,9,3.4,2,0,5,3,2,2
100,White Wine,Sauvignon Blanc,Fennel,Sauvignon Blanc,39,1400,448,21.3,82,5,29.7,2,0,5,3,2,2
101,White Wine,Pouilly Fumé,Fennel,Sauvignon Blanc,39,1400,448,21.3,82,5,29.7,2,0,5,3,2,2
102,White Wine,Sancerre,Fennel,Sauvignon Blanc,39,1400,448,21.3,82,5,29.7,2,0,5,3,2,2
103,White Wine,Sauvignon Blanc,Fish,Sauvignon Blanc,40,981,678,45.8,179,7,61.3,2,0,5,3,2,2
104,White Wine,Sancerre,Fish,Sauvignon Blanc,40,981,678,45.8,179,7,61.3,2,0,5,3,2,2
105,White Wine,Sauvignon Blanc,Fried Foods,Sauvignon Blanc,43,150,328,27.2,0,22,3.8,2,0,5,3,2,2
106,White Wine,Sauvignon Blanc,Gazpacho,Sauvignon Blanc,50,410,132,9.9,0,5,2,2,0,5,3,2,2
107,White Wine,Pouilly Fumé,Gazpacho,Sauvignon Blanc,50,410,132,9.9,0,5,2,2,0,5,3,2,2
108,White Wine,Sauvignon Blanc,Ginger,Sauvignon Blanc,51,303,211,8.7,51,8,2.4,2,0,5,3,2,2
109,White Wine,Sancerre,Ginger,Sauvignon Blanc,51,303,211,8.7,51,8,2.4,2,0,5,3,2,2
110,White Wine,Sauvignon Blanc,Grilled Dishes,Sauvignon Blanc,54,980,328,23.4,106,2,17.9,2,0,5,3,2,2
111,White Wine,Fumé Blanc,Grilled Dishes,Sauvignon Blanc,54,980,328,23.4,106,2,17.9,2,0,5,3,2,2
112,White Wine,Sauvignon Blanc,Guacamole,Sauvignon Blanc,55,596,262,22.2,0,18,3.7,2,0,5,3,2,2
113,White Wine,Sancerre,Guacamole,Sauvignon Blanc,55,596,262,22.2,0,18,3.7,2,0,5,3,2,2
114,White Wine,Pouilly Fumé,Halibut,Sauvignon Blanc,58,149,613,45.6,164,1,40.9,2,0,5,3,2,2
115,White Wine,Bordeaux AOC White,Halibut,Sauvignon Blanc,58,149,613,45.6,164,1,40.9,2,0,5,3,2,2
116,White Wine,Sauvignon Blanc,Herbed Dishes,Sauvignon Blanc,62,651,539,33.2,65,5,20.4,2,0,5,3,2,2
117,White Wine,Sancerre,Herbed Dishes,Sauvignon Blanc,62,651,539,33.2,65,5,20.4,2,0,5,3,2,2
118,White Wine,Pouilly Fumé,Herbed Dishes,Sauvignon Blanc,62,651,539,33.2,65,5,20.4,2,0,5,3,2,2
119,White Wine,Bordeaux AOC White,Indian Cuisine,Sauvignon Blanc,66,1370,427,24.3,95,7,38.1,2,0,5,3,2,2
120,White Wine,Bordeaux AOC White,Lamb Stew,Sauvignon Blanc,75,1189,672,39.3,163,3,46.4,2,0,5,3,2,2
121,White Wine,Sauvignon Blanc,Lime,Sauvignon Blanc,77,324,553,20.5,45,7,10.9,2,0,5,3,2,2
122,White Wine,Sancerre,Lime,Sauvignon Blanc,77,324,553,20.5,45,7,10.9,2,0,5,3,2,2
123,White Wine,Sauvignon Blanc,Mackerel,Sauvignon Blanc,79,593,242,14.3,103,2,24.8,2,0,5,3,2,2
124,White Wine,Sancerre,Mackerel,Sauvignon Blanc,79,593,242,14.3,103,2,24.8,2,0,5,3,2,2
125,White Wine,Bordeaux AOC White,Mackerel,Sauvignon Blanc,79,593,242,14.3,103,2,24.8,2,0,5,3,2,2
126,White Wine,Sauvignon Blanc,Mango,Sauvignon Blanc,80,397,158,12,0,8,1.9,2,0,5,3,2,2
127,White Wine,Sauvignon Blanc,Mint,Sauvignon Blanc,83,222,364,15.9,41,6,3.7,2,0,5,3,2,2
128,White Wine,Sauvignon Blanc,Mushrooms,Sauvignon Blanc,85,1131,431,16.6,29,6,11.3,2,0,5,3,2,2
129,White Wine,Sancerre,Morel Mushrooms,Sauvignon Blanc,86,753,663,67.4,225,1,5.5,2,0,5,3,2,2
130,White Wine,Sancerre,Mustard,Sauvignon Blanc,88,654,426,31.6,21,1,8,2,0,5,3,2,2
131,White Wine,Sauvignon Blanc,Oregano,Sauvignon Blanc,93,108,66,5.6,8,8,1.8,2,0,5,3,2,2
132,White Wine,Sauvignon Blanc,Parsley,Sauvignon Blanc,95,560,545,27.9,210,9,68.1,2,0,5,3,2,2
133,White Wine,Sancerre,Parsley,Sauvignon Blanc,95,560,545,27.9,210,9,68.1,2,0,5,3,2,2
134,White Wine,Sauvignon Blanc,Pasta with Tomato Sauce,Sauvignon Blanc,99,248,257,3.1,3,9,9.8,2,0,5,3,2,2
135,White Wine,Sauvignon Blanc,Peas,Sauvignon Blanc,3,1187,374,14.4,40,37,25.1,2,0,5,3,2,2
136,White Wine,Pouilly Fumé,Peas,Sauvignon Blanc,3,1187,374,14.4,40,37,25.1,2,0,5,3,2,2
137,White Wine,Sancerre,Black Pepper,Sauvignon Blanc,5,575,419,31.2,29,8,13.6,2,0,5,3,2,2
138,White Wine,Sauvignon Blanc,Red Bell Pepper,Sauvignon Blanc,6,394,195,10.5,30,5,6.1,2,0,5,3,2,2
139,White Wine,Sancerre,Red Bell Pepper,Sauvignon Blanc,6,394,195,10.5,30,5,6.1,2,0,5,3,2,2
140,White Wine,Sauvignon Blanc,Green Bell Pepper,Sauvignon Blanc,7,651,539,33.2,65,5,20.4,2,0,5,3,2,2
141,White Wine,Pouilly Fumé,Green Bell Pepper,Sauvignon Blanc,7,651,539,33.2,65,5,20.4,2,0,5,3,2,2
142,White Wine,Sancerre,Green Bell Pepper,Sauvignon Blanc,7,651,539,33.2,65,5,20.4,2,0,5,3,2,2
143,White Wine,Sauvignon Blanc,Pesto,Sauvignon Blanc,8,59,91,9,3,1,2.3,2,0,5,3,2,2
144,White Wine,Sauvignon Blanc,Ratatouille,Sauvignon Blanc,24,449,188,7.6,24,22,9.7,2,0,5,3,2,2
145,White Wine,Sauvignon Blanc,Salad,Sauvignon Blanc,27,654,426,31.6,21,1,8,2,0,5,3,2,2
146,White Wine,Sancerre,Salad,Sauvignon Blanc,27,654,426,31.6,21,1,8,2,0,5,3,2,2
147,White Wine,Sauvignon Blanc,Chicken Salad,Sauvignon Blanc,28,188,229,14,44,3,15.1,2,0,5,3,2,2
148,White Wine,Sancerre,Chicken Salad,Sauvignon Blanc,28,188,229,14,44,3,15.1,2,0,5,3,2,2
149,White Wine,Sauvignon Blanc,Tomato Salad,Sauvignon Blanc,29,654,426,31.6,21,1,8,2,0,5,3,2,2
150,White Wine,Bordeaux AOC White,Hollandaise Sauce,Sauvignon Blanc,30,119,163,17.5,143,6,1.5,2,0,5,3,2,2
151,White Wine,Sancerre,Hollandaise Sauce,Sauvignon Blanc,30,119,163,17.5,143,6,1.5,2,0,5,3,2,2
152,White Wine,Sauvignon Blanc,Scallops,Sauvignon Blanc,34,755,318,12.9,164,3,34.9,2,0,5,3,2,2
153,White Wine,Bordeaux AOC White,Scallops,Sauvignon Blanc,34,755,318,12.9,164,3,34.9,2,0,5,3,2,2
154,White Wine,Bordeaux AOC White,Sea Bass,Sauvignon Blanc,38,1131,561,18.5,94,6,46.9,2,0,5,3,2,2
155,White Wine,Pouilly Fumé,Sea Bass,Sauvignon Blanc,38,1131,561,18.5,94,6,46.9,2,0,5,3,2,2
156,White Wine,Sancerre,Sea Bass,Sauvignon Blanc,38,1131,561,18.5,94,6,46.9,2,0,5,3,2,2
157,White Wine,Sauvignon Blanc,Seafood,Sauvignon Blanc,41,1635,618,43.7,270,2,38.6,2,0,5,3,2,2
158,White Wine,Sauvignon Blanc,Shark,Sauvignon Blanc,43,365,248,17.7,53,7,18.8,2,0,5,3,2,2
159,White Wine,Sancerre,Shark,Sauvignon Blanc,43,365,248,17.7,53,7,18.8,2,0,5,3,2,2
160,White Wine,Sauvignon Blanc,Shrimp,Sauvignon Blanc,44,1635,618,43.7,270,2,38.6,2,0,5,3,2,2
161,White Wine,Bordeaux AOC White,Shrimp,Sauvignon Blanc,44,1635,618,43.7,270,2,38.6,2,0,5,3,2,2
162,White Wine,Sauvignon Blanc,Salmon Smoked,Sauvignon Blanc,46,312,120,10.8,37,1,5,2,0,5,3,2,2
163,White Wine,Sancerre,Salmon Smoked,Sauvignon Blanc,46,312,120,10.8,37,1,5,2,0,5,3,2,2
164,White Wine,Sancerre,Trout Smoked,Sauvignon Blanc,47,,,,,,,2,0,5,3,2,2
165,White Wine,Sauvignon Blanc,Trout Smoked,Sauvignon Blanc,47,,,,,,,2,0,5,3,2,2
166,White Wine,Pouilly Fumé,Sole,Sauvignon Blanc,50,831,474,32,127,6,41.3,2,0,5,3,2,2
167,White Wine,Sancerre,Sole,Sauvignon Blanc,50,831,474,32,127,6,41.3,2,0,5,3,2,2
168,White Wine,Sauvignon Blanc,Sole,Sauvignon Blanc,50,831,474,32,127,6,41.3,2,0,5,3,2,2
169,White Wine,Bordeaux AOC White,Dover Sole,Sauvignon Blanc,51,831,474,32,127,6,41.3,2,0,5,3,2,2
170,White Wine,Sauvignon Blanc,Dover Sole,Sauvignon Blanc,51,831,474,32,127,6,41.3,2,0,5,3,2,2
171,White Wine,Bordeaux AOC White,Bouillabaisse,Sauvignon Blanc,52,641,371,13.7,92,1,37.7,2,0,5,3,2,2
172,White Wine,Sauvignon Blanc,Bouillabaisse,Sauvignon Blanc,52,641,371,13.7,92,1,37.7,2,0,5,3,2,2
173,White Wine,Sauvignon Blanc,Minestrone Soup,Sauvignon Blanc,55,2020,484,23,16,9,17.9,2,0,5,3,2,2
174,White Wine,Sauvignon Blanc,Soy Sauce,Sauvignon Blanc,56,387,135,11.9,31,4,4.2,2,0,5,3,2,2
175,White Wine,Sauvignon Blanc,Spinach,Sauvignon Blanc,58,58,338,23.5,4,4,4.9,2,0,5,3,2,2
176,White Wine,Sauvignon Blanc,Striped Bass,Sauvignon Blanc,69,600,399,19,47,6,25.6,2,0,5,3,2,2
177,White Wine,Sauvignon Blanc,Sushi,Sauvignon Blanc,70,296,181,0.2,0,7,2.9,2,0,5,3,2,2
178,White Wine,Sauvignon Blanc,Sweetbreads,Sauvignon Blanc,71,1363,1063,30,109,8,15.2,2,0,5,3,2,2
179,White Wine,Sauvignon Blanc,Swordfish,Sauvignon Blanc,72,708,258,12.3,52,6,27.6,2,0,5,3,2,2
180,White Wine,Sancerre,Swordfish,Sauvignon Blanc,72,708,258,12.3,52,6,27.6,2,0,5,3,2,2
181,White Wine,Sauvignon Blanc,Tapenade,Sauvignon Blanc,76,361,327,24,41,4,5.2,2,0,5,3,2,2
182,White Wine,Sauvignon Blanc,Thyme,Sauvignon Blanc,77,,,,,,,2,0,5,3,2,2
183,White Wine,Sauvignon Blanc,Tomatoes Raw,Sauvignon Blanc,80,1145,324,20.2,50,1,14.6,2,0,5,3,2,2
184,White Wine,Sauvignon Blanc,Tuna,Sauvignon Blanc,83,1233,458,24.7,77,3,42.1,2,0,5,3,2,2
185,White Wine,Sauvignon Blanc,Grilled Tuna,Sauvignon Blanc,84,644,281,11.8,77,8,40,2,0,5,3,2,2
186,White Wine,Sauvignon Blanc,Turkey,Sauvignon Blanc,86,651,539,33.2,65,5,20.4,2,0,5,3,2,2
187,White Wine,Sancerre,Turkey Roasted,Sauvignon Blanc,87,1734,351,5.9,120,9,40.1,2,0,5,3,2,2
188,White Wine,Sauvignon Blanc,Turkey Roasted,Sauvignon Blanc,87,1734,351,5.9,120,9,40.1,2,0,5,3,2,2
189,White Wine,Sauvignon Blanc,Vegetarian Dishes,Sauvignon Blanc,90,980,328,23.4,106,2,17.9,2,0,5,3,2,2
190,White Wine,Sauvignon Blanc,Vietnamese Cuisine,Sauvignon Blanc,92,388,238,16.3,0,9,3.4,2,0,5,3,2,2
191,White Wine,Sauvignon Blanc,Wasabi,Sauvignon Blanc,93,278,533,34.6,158,5,40.7,2,0,5,3,2,2
192,White Wine,Sauvignon Blanc,Zucchini,Sauvignon Blanc,94,281,461,19.9,46,8,5.3,2,0,5,3,2,2
193,White Wine,Sancerre,Zucchini,Sauvignon Blanc,94,281,461,19.9,46,8,5.3,2,0,5,3,2,2
194,White Wine,Sauvignon Blanc,Chinese Food Takeout/Buffet,Sauvignon Blanc,96,651,539,33.2,65,5,20.4,2,0,5,3,2,2
195,White Wine,Sauvignon Blanc,Tapas,Sauvignon Blanc,99,800,447,37.5,230,7,25.3,2,0,5,3,2,2
196,White Wine,Sauvignon Blanc,Chicken Tacos,Sauvignon Blanc,7,435,401,20.7,75,3,24.9,2,0,5,3,2,2
197,White Wine,Sauvignon Blanc,Calamari,Sauvignon Blanc,12,254,642,66.7,112,2,8,2,0,5,3,2,2
198,White Wine,Sancerre,Charcuterie,Sauvignon Blanc,13,,,,,,,2,0,5,3,2,2
199,White Wine,Sauvignon Blanc,Charcuterie,Sauvignon Blanc,13,,,,,,,2,0,5,3,2,2
200,White Wine,Sauvignon Blanc,Grilled Vegetable Sandwich,Sauvignon Blanc,17,1918,714,29.4,46,8,35.1,2,0,5,3,2,2
201,White Wine,Sauvignon Blanc,Herbed Sole,Sauvignon Blanc,20,466,337,9.1,167,6,33.9,2,0,5,3,2,2
202,White Wine,Sauvignon Blanc,Salmon Burgers,Sauvignon Blanc,23,484,268,10.9,92,9,27.8,2,0,5,3,2,2
203,White Wine,Sauvignon Blanc,"Shrimp, Leek, and Spinach Risotto",Sauvignon Blanc,33,654,232,10.3,72,2,11.1,2,0,5,3,2,2
204,White Wine,Sauvignon Blanc,Bruschetta,Sauvignon Blanc,38,471,194,2.5,2,2,8.3,2,0,5,3,2,2
205,White Wine,Sauvignon Blanc,Vegetarian Stir Fry,Sauvignon Blanc,39,903,119,9.3,0,8,2.2,2,0,5,3,2,2
206,White Wine,Sauvignon Blanc,Almond,Sauvignon Blanc,43,149,613,45.6,164,1,40.9,2,0,5,3,2,2
207,White Wine,Sauvignon Blanc,Potato Leek Soup,Sauvignon Blanc,45,673,488,45.4,145,7,3.7,2,0,5,3,2,2
208,White Wine,Sauvignon Blanc,Seafood Macaroni and Cheese,Sauvignon Blanc,46,450,401,23.3,70,1,18.5,2,0,5,3,2,2
209,White Wine,Sancerre,Fried Chicken,Sauvignon Blanc,65,108,623,41.3,115,9,38.9,2,0,5,3,2,2
210,White Wine,Sauvignon Blanc,Fried Chicken,Sauvignon Blanc,65,108,623,41.3,115,9,38.9,2,0,5,3,2,2
211,White Wine,Sauvignon Blanc,Pad Thai,Sauvignon Blanc,66,594,524,20.7,178,5,26.4,2,0,5,3,2,2
212,White Wine,Sauvignon Blanc,Chicken Tortilla Soup,Sauvignon Blanc,79,1269,195,4.4,66,12,24.6,2,0,5,3,2,2
213,White Wine,Sancerre,Chicken Tortilla Soup,Sauvignon Blanc,79,1269,195,4.4,66,12,24.6,2,0,5,3,2,2
214,White Wine,Pouilly Fumé,Chicken Tortilla Soup,Sauvignon Blanc,79,1269,195,4.4,66,12,24.6,2,0,5,3,2,2
