,0,nutrition
63,Cassoulet,Per Serving: 712 calories; 28.7 g fat; 64 g carbohydrates; 44.8 g protein; 107 mg cholesterol; 2343 mg sodium. Full nutrition
64,Ceviche,Per Serving: 62 calories; 2 g fat; 9.3 g carbohydrates; 2.9 g protein; 6 mg cholesterol; 241 mg sodium. Full nutrition
65,Cheese,Per Serving: 426 calories; 31.6 g fat; 33.1 g carbohydrates; 8 g protein; 21 mg cholesterol; 654 mg sodium. Full nutrition
66,Blue Cheese,Per Serving: 397 calories; 30.2 g fat; 25.3 g carbohydrates; 8 g protein; 15 mg cholesterol; 631 mg sodium. Full nutrition
67,Brie Cheese,Per Serving: 286 calories; 19.5 g fat; 19.1 g carbohydrates; 8.6 g protein; 28 mg cholesterol; 264 mg sodium. Full nutrition
68,Cabrales Cheese,Per Serving: 387 calories; 30.5 g fat; 22.7 g carbohydrates; 6.6 g protein; 216 mg cholesterol; 60 mg sodium. Full nutrition
69,Camembert Cheese,Per Serving: 387 calories; 30.5 g fat; 22.7 g carbohydrates; 6.6 g protein; 216 mg cholesterol; 60 mg sodium. Full nutrition
70,Castelmagno Cheese,Per Serving: 387 calories; 30.5 g fat; 22.7 g carbohydrates; 6.6 g protein; 216 mg cholesterol; 60 mg sodium. Full nutrition
71,Cheddar Cheese,Per Serving: 426 calories; 31.6 g fat; 33.1 g carbohydrates; 8 g protein; 21 mg cholesterol; 654 mg sodium. Full nutrition
72,Crottin Cheese,Per Serving: 387 calories; 30.5 g fat; 22.7 g carbohydrates; 6.6 g protein; 216 mg cholesterol; 60 mg sodium. Full nutrition
73,Edam Cheese,Per Serving: 387 calories; 30.5 g fat; 22.7 g carbohydrates; 6.6 g protein; 216 mg cholesterol; 60 mg sodium. Full nutrition
74,Feta Cheese,Per Serving: 318 calories; 21.9 g fat; 3.6 g carbohydrates; 25.5 g protein; 123 mg cholesterol; 800 mg sodium. Full nutrition
75,Fontina Cheese,Per Serving: 387 calories; 30.5 g fat; 22.7 g carbohydrates; 6.6 g protein; 216 mg cholesterol; 60 mg sodium. Full nutrition
76,Fourme D'ambert Cheese,Per Serving: 387 calories; 30.5 g fat; 22.7 g carbohydrates; 6.6 g protein; 216 mg cholesterol; 60 mg sodium. Full nutrition
77,Gorgonzola Cheese,Per Serving: 160 calories; 14.6 g fat; 2.2 g carbohydrates; 5.7 g protein; 42 mg cholesterol; 201 mg sodium. Full nutrition
78,Gouda Cheese,Per Serving: 647 calories; 51.3 g fat; 32 g carbohydrates; 15.7 g protein; 161 mg cholesterol; 801 mg sodium. Full nutrition
79,Gruyere Cheese,Per Serving: 426 calories; 31.6 g fat; 33.1 g carbohydrates; 8 g protein; 21 mg cholesterol; 654 mg sodium. Full nutrition
80,Havarti Cheese,Per Serving: 426 calories; 31.6 g fat; 33.1 g carbohydrates; 8 g protein; 21 mg cholesterol; 654 mg sodium. Full nutrition
81,Manchego Cheese,Per Serving: 387 calories; 30.5 g fat; 22.7 g carbohydrates; 6.6 g protein; 216 mg cholesterol; 60 mg sodium. Full nutrition
82,Monterey Jack Cheese,Per Serving: 169 calories; 11.8 g fat; 6.3 g carbohydrates; 10.2 g protein; 146 mg cholesterol; 717 mg sodium. Full nutrition
83,Mozzarella Cheese,Per Serving: 400 calories; 22.5 g fat; 29.5 g carbohydrates; 19.4 g protein; 83 mg cholesterol; 805 mg sodium. Full nutrition
84,Morbier Cheese,Per Serving: 387 calories; 30.5 g fat; 22.7 g carbohydrates; 6.6 g protein; 216 mg cholesterol; 60 mg sodium. Full nutrition
85,Parmesan Cheese,Per Serving: 165 calories; 13.4 g fat; 4.9 g carbohydrates; 2.3 g protein; 17 mg cholesterol; 202 mg sodium. Full nutrition
86,Pecorino Cheese,Per Serving: 387 calories; 30.5 g fat; 22.7 g carbohydrates; 6.6 g protein; 216 mg cholesterol; 60 mg sodium. Full nutrition
87,Pierre Robert Cheese,Per Serving: 387 calories; 30.5 g fat; 22.7 g carbohydrates; 6.6 g protein; 216 mg cholesterol; 60 mg sodium. Full nutrition
88,Pont-L'eveque Cheese,Per Serving: 387 calories; 30.5 g fat; 22.7 g carbohydrates; 6.6 g protein; 216 mg cholesterol; 60 mg sodium. Full nutrition
89,Reblochon Cheese,Per Serving: 387 calories; 30.5 g fat; 22.7 g carbohydrates; 6.6 g protein; 216 mg cholesterol; 60 mg sodium. Full nutrition
90,Abondance Cheese,Per Serving: 387 calories; 30.5 g fat; 22.7 g carbohydrates; 6.6 g protein; 216 mg cholesterol; 60 mg sodium. Full nutrition
91,Triple Créme Cheese,Per Serving: 387 calories; 30.5 g fat; 22.7 g carbohydrates; 6.6 g protein; 216 mg cholesterol; 60 mg sodium. Full nutrition
92,Vacherin Mont D'or Cheese,Per Serving: 387 calories; 30.5 g fat; 22.7 g carbohydrates; 6.6 g protein; 216 mg cholesterol; 60 mg sodium. Full nutrition
93,Cheesecake,412 calories; 28.3 g total fat; 96 mg cholesterol; 226 mg sodium. 34.4 g carbohydrates; 6.8 g protein; Full Nutrition
94,Cheesecake Fruit-Topped,Per Serving: 387 calories; 30.5 g fat; 22.7 g carbohydrates; 6.6 g protein; 216 mg cholesterol; 60 mg sodium. Full nutrition
95,Cherry,95 calories; 4.8 g total fat; 18 mg cholesterol; 54 mg sodium. 11.8 g carbohydrates; 1.3 g protein; Full Nutrition
96,Chicken,328 calories; 23.4 g total fat; 106 mg cholesterol; 980 mg sodium. 13.2 g carbohydrates; 17.9 g protein; Full Nutrition
97,Baked Chicken with Cream Sauce,Per Serving: 387 calories; 30.5 g fat; 22.7 g carbohydrates; 6.6 g protein; 216 mg cholesterol; 60 mg sodium. Full nutrition
98,Barbecued Chicken with Barbacue Sauce,328 calories; 23.4 g total fat; 106 mg cholesterol; 980 mg sodium. 13.2 g carbohydrates; 17.9 g protein; Full Nutrition
99,Coq Au Vin,Per Serving: 92 calories; 3.3 g fat; 12.8 g carbohydrates; 3.2 g protein; 9 mg cholesterol; 88 mg sodium. Full nutrition
100,Appenzeller Cheese,Per Serving: 387 calories; 30.5 g fat; 22.7 g carbohydrates; 6.6 g protein; 216 mg cholesterol; 60 mg sodium. Full nutrition
